name,slug,category,tvl_usd,change_1d,change_7d,change_1m,chains_count,chain,collected_date,is_outlier,category_clean,tvl_millions,tvl_billions,growth_score,tvl_rank,growth_rank,size_bracket
Scallop Lend,scallop-lend,Lending,93041771.13380475,-2.896672355943565,-9.306254433795942,0,1,Sui,2025-08-22,False,Lending,93.04177113380476,0.09304177113380475,-5.232461688086684,17.0,58.0,$10M-$100M
Bluefin Spot,bluefin-spot,Dexs,86692072.28897563,12.585013565469822,-0.9366739779649152,0,1,Sui,2025-08-22,False,Others,86.69207228897562,0.08669207228897563,2.048665724111507,18.0,11.0,$10M-$100M
Volo,volo,Liquid Staking,83692074.13802686,-3.1073446327683456,-9.018567639257284,0,1,Sui,2025-08-22,False,Liquid Staking,83.69207413802687,0.08369207413802686,-5.130752746182312,19.0,57.0,$10M-$100M
AlphaLend,alphalend,Lending,81055998.60201316,-1.1247128433560365,-8.903901781954332,0,1,Sui,2025-08-22,False,Lending,81.05599860201316,0.08105599860201315,-4.676893459648373,20.0,51.0,$10M-$100M
Bucket CDP,bucket-cdp,CDP,78951311.4823047,0.0364489459593784,8.291812843769122,0,1,Sui,2025-08-22,False,Others,78.9513114823047,0.0789513114823047,4.153196211076437,21.0,8.0,$10M-$100M
Kai Finance,kai-finance,Leveraged Farming,37250263.8874988,-5.7297820123798,-14.543221799860362,0,1,Sui,2025-08-22,False,Others,37.250263887498804,0.0372502638874988,-8.417567302406141,22.0,67.0,$10M-$100M
AlphaFi stSUI,alphafi-stsui,Liquid Staking,35755767.62829043,-5.649816611187333,-18.59709264432702,0,1,Sui,2025-08-22,False,Liquid Staking,35.75576762829043,0.03575576762829043,-10.428509644400977,23.0,70.0,$10M-$100M
Bucket Farm,bucket-farm,Farm,31054631.581678305,1.3757024234577244,1.0861411043793652,0,1,Sui,2025-08-22,False,Others,31.054631581678304,0.031054631581678305,0.8182110368812274,24.0,13.0,$10M-$100M
Aftermath afSUI,aftermath-afsui,Liquid Staking,29222533.162083175,-3.159678187268895,-8.706171676201905,0,1,Sui,2025-08-22,False,Liquid Staking,29.222533162083174,0.029222533162083175,-4.985021475554731,25.0,54.0,$10M-$100M
Aftermath AMM,aftermath-amm,Dexs,25173716.397590313,-3.6447759611615993,-10.340198975043563,0,1,Sui,2025-08-22,False,Others,25.17371639759031,0.025173716397590314,-5.8990546797541015,26.0,62.0,$10M-$100M
Allbridge Core,allbridge-core,Bridge,23269885.53462987,,,0,12,Sui,2025-08-22,False,Bridge,23.26988553462987,0.02326988553462987,0.0,27.0,17.0,$10M-$100M
AlphaFi Agg,alphafi-agg,Yield Aggregator,20583102.809832625,-2.9648261659582147,-11.746405258303156,0,1,Sui,2025-08-22,False,Others,20.583102809832624,0.020583102809832624,-6.466167862343221,28.0,64.0,$10M-$100M
DeepBook V3,deepbook-v3,Dexs,20361242.120161604,-3.123357372905076,-9.412493134723192,0,1,Sui,2025-08-22,False,Others,20.361242120161606,0.020361242120161605,-5.330918041942612,29.0,59.0,$10M-$100M
Turbos,turbos,Dexs,19271483.169746943,8.130967602508889,-2.3571052809812016,0,1,Sui,2025-08-22,False,Others,19.271483169746944,0.01927148316974694,0.4476408800111771,30.0,15.0,$10M-$100M
Magma,magma,Dexs,18154039.55126041,-1.2859639091104071,-3.384283809689464,0,1,Sui,2025-08-22,False,Others,18.15403955126041,0.018154039551260413,-1.9493346866668133,31.0,28.0,$10M-$100M
SpringSui Ecosystem,springsui-ecosystem,Liquid Staking,17865292.47746679,13.70250960115655,6.604157299726637,0,1,Sui,2025-08-22,False,Liquid Staking,17.865292477466788,0.01786529247746679,6.0425805700946285,32.0,7.0,$10M-$100M
Nemo Vault,nemo-vault,Yield Aggregator,15754354.911931207,-1.5892133852052694,,0,1,Sui,2025-08-22,False,Others,15.754354911931207,0.015754354911931206,-0.3178426770410539,33.0,21.0,$10M-$100M
Mole,mole,Yield,13715981.093894873,0.9904893916755668,-3.95264786832685,0,2,Sui,2025-08-22,False,Yield Farming,13.715981093894873,0.013715981093894873,-1.7782260558283114,34.0,26.0,$10M-$100M
Typus DOV,typus-dov,Options Vault,11898834.790188272,-2.353477479440201,-15.34320029967394,0,1,Sui,2025-08-22,False,Others,11.898834790188271,0.011898834790188271,-8.14229564572501,35.0,66.0,$10M-$100M
STEAMM,steamm,Dexs,10220898.88015128,,,0,1,Sui,2025-08-22,False,Others,10.22089888015128,0.010220898880151279,0.0,36.0,17.0,$10M-$100M
DoubleUp,doubleup,Prediction Market,9993835.464529846,-2.7937938990421287,-18.45872608900683,0,1,Sui,2025-08-22,False,Others,9.993835464529846,0.009993835464529846,-9.78812182431184,37.0,69.0,$1M-$10M
xSui,xsui,Liquid Staking,9496524.930710567,36.846892482472384,16.127100463905336,0,1,Sui,2025-08-22,False,Liquid Staking,9.496524930710567,0.009496524930710567,15.432928728447145,38.0,4.0,$1M-$10M
Metastable,metastable,CDP,9398206.98703869,-4.87453762183857,-9.113832549631269,0,1,Sui,2025-08-22,False,Others,9.39820698703869,0.009398206987038691,-5.531823799183348,39.0,61.0,$1M-$10M
Bluefin Pro,bluefin-pro,Derivatives,8690489.07591084,2.593064028969266,5.097514434642164,0,1,Sui,2025-08-22,False,Derivatives,8.69048907591084,0.008690489075910841,3.0673700231149352,40.0,9.0,$1M-$10M
Haedal Vault,haedal-vault,Farm,6832506.5537492,,,0,1,Sui,2025-08-22,False,Others,6.8325065537492,0.0068325065537492,0.0,41.0,17.0,$1M-$10M
FlowX V3,flowx-v3,Dexs,6771641.815038703,11.206085083027132,0.867495032117688,0,1,Sui,2025-08-22,False,Others,6.771641815038703,0.006771641815038703,2.6749645326642706,42.0,10.0,$1M-$10M
Nemo Yield Trading,nemo-yield-trading,Yield,4673168.849301122,-1.5903657620488332,14.545842125622356,0,1,Sui,2025-08-22,False,Yield Farming,4.673168849301122,0.004673168849301122,6.954847910401411,43.0,6.0,$1M-$10M
OmniBTC,omnibtc,Lending,4452405.973060376,-2.421861145874061,-7.130805024929813,0,8,Sui,2025-08-22,False,Lending,4.452405973060376,0.004452405973060376,-4.049774741639719,44.0,45.0,$1M-$10M
BlueMove DEX,bluemove-dex,Dexs,4248181.759058567,-4.241504880701328,-10.981649849398876,0,1,Sui,2025-08-22,False,Others,4.248181759058567,0.004248181759058567,-6.339125900839703,45.0,63.0,$1M-$10M
Typus Safu,typus-safu,Yield,3815089.813474876,-1.183108319084326,-8.846715146629094,0,1,Sui,2025-08-22,False,Yield Farming,3.815089813474876,0.003815089813474876,-4.659979237131412,46.0,50.0,$1M-$10M
Typus Perp,typus-perp,Derivatives,3743542.545230755,-2.256672402438838,-4.375233835242369,0,1,Sui,2025-08-22,False,Derivatives,3.743542545230755,0.003743542545230755,-2.638951398108952,47.0,33.0,$1M-$10M
