name,slug,category,tvl_usd,original_tvl,chain_count,allocation_ratio,change_1d,change_7d,change_1m,chains_count,chain,collected_date
ABEx Finance,abex-finance,Derivatives,11622.091095470374,61662.713830671775,1,1.0,-5.822703342834302,1.066821850328921,0.0,1,Sui,2025-09-16
Sui Pearl,sui-pearl,Yield Aggregator,11131.209545196592,59058.269560648296,1,1.0,-5.484402579201259,0.9445531444895181,0.0,1,Sui,2025-09-16
Weiss Finance,weiss-finance,CDP,5077.580459045077,26939.850000000002,1,1.0,-5.660377358490564,0.8677671623492671,0.0,1,Sui,2025-09-16
Interest Protocol Stable Swap,interest-protocol-stable-swap,Dexs,4849.832492118544,25731.499661429567,1,1.0,-14.972389571701754,258.8240013187003,0.0,1,Sui,2025-09-16
Jackson Protocol,jackson-protocol,Prediction Market,3948.6906671242364,20950.359157623836,1,1.0,-2.2203819890619485,-0.0260299030273643,0.0,1,Sui,2025-09-16
AnimeSwap,animeswap,Dexs,1915.195538385638,20322.7032800113,2,0.5,-1.9864361664494794,0.3104898966380034,0.0,2,Sui,2025-09-16
Sui Rewards Me,sui-rewards-me,Dexs,3609.612293424378,19151.328970037983,1,1.0,-7.007492126562099,-5.8161496947206786,0.0,1,Sui,2025-09-16
BaySwap,bayswap,Dexs,3539.1827675844165,18777.65476103165,1,1.0,-3.390043420446645,0.7280491688249242,0.0,1,Sui,2025-09-16
Interest Protocol-SUI,interest-protocol-sui,Dexs,1789.1604759093984,9492.654077212312,1,1.0,-3.0015497003046363,1.428236948013577,0.0,1,Sui,2025-09-16
Poseidollar,poseidollar,Algo-Stables,221.94126609622955,1177.5420331925125,1,1.0,-0.12854930219675964,0.05958768820066496,0.0,1,Sui,2025-09-16
DegenHive LST,degenhive-lst,Liquid Staking,127.81834980428843,678.1590560206799,1,1.0,-5.390835579514828,1.4450867052022858,0.0,1,Sui,2025-09-16
DegenHive AMM,degenhive-amm,Dexs,65.72927660700446,348.736345328977,1,1.0,-4.781637485353286,1.6106452170358239,0.0,1,Sui,2025-09-16
DegenHive Memepad,degenhive-memepad,Launchpad,16.28272114078832,86.39037208032,1,1.0,-5.376344086021504,1.1494252873563084,0.0,1,Sui,2025-09-16
