name,category,tvl_usd,change_1d,change_7d,change_1m,blockchain,category_clean,tvl_millions,tvl_rank,tvl_billions,tvl_log,size_category
Thala LSD,Liquid Staking,50752526.7279179,-4.57054067888761,-8.013505114343758,0,Aptos,Liquid Staking,50.7525267279179,21.0,0.0507525267279179,7.705457668588714,$10M-$100M
ThalaSwap V2,Dexs,49100077.275681555,-0.3437540104421828,3.626335131412461,0,Aptos,Others,49.10007727568155,22.0,0.04910007727568155,7.6910821756336745,$10M-$100M
Poly Network,Bridge,44728247.74000001,,,0,Aptos,Bridge,44.72824774000001,23.0,0.04472824774000001,7.650581884719607,$10M-$100M
Echo Strategy,Yield Aggregator,38719119.15316042,-1.7587785724916216,-5.373245866430125,0,Aptos,Others,38.71911915316042,24.0,0.038719119153160425,7.587925468696449,$10M-$100M
Kofi Finance,Liquid Staking,27639542.16431969,-1.0084261082087664,-5.309298506098841,0,Aptos,Liquid Staking,27.63954216431969,25.0,0.02763954216431969,7.441530844883189,$10M-$100M
Cellana Finance,Dexs,18983763.23094637,-1.3614860856734907,-6.2044924899329175,0,Aptos,Others,18.98376323094637,26.0,0.01898376323094637,7.278382308640872,$10M-$100M
ThalaSwap,Dexs,15638166.249153366,-1.254820174262747,-0.517463696048793,0,Aptos,Others,15.638166249153366,27.0,0.015638166249153367,7.194185825797693,$10M-$100M
Aptin Finance V2,Lending,14871796.318473369,-1.4610138219186268,-6.385043702789574,0,Aptos,Lending,14.871796318473368,28.0,0.014871796318473369,7.172363428783152,$10M-$100M
Superposition,Lending,14510982.717015311,-2.0665164179645217,-9.579825492059385,0,Aptos,Lending,14.510982717015311,29.0,0.01451098271701531,7.161696824851599,$10M-$100M
Mole,Yield,13715981.093894873,0.9904893916755668,-3.95264786832685,0,Aptos,Yield Farming,13.715981093894872,30.0,0.013715981093894873,7.137226877811907,$10M-$100M
LiquidSwap,Dexs,9922659.46213418,-1.442518392229772,-5.879717986203474,0,Aptos,Others,9.92265946213418,31.0,0.00992265946213418,6.9966280869662985,$1M-$10M
Thala CDP,CDP,9904592.663783176,-1.4245859153261904,-6.740598589320939,0,Aptos,Others,9.904592663783175,32.0,0.009904592663783176,6.995836619449642,$1M-$10M
Meso Finance,Lending,8251728.8820794,-2.2936226358862797,-6.805756204179218,0,Aptos,Lending,8.2517288820794,33.0,0.0082517288820794,6.916544950402526,$1M-$10M
